store,type,stores_size,unemployment,temperature,fuel_price,date,is_holiday,weekly_sales
1,A,151315,8.106,42.31,2.572,2010-02-05T00:00:00Z,false,22516.313698630136
1,A,151315,8.106,38.51,2.548,2010-02-12T00:00:00Z,true,22804.964444444442
1,A,151315,8.106,39.93,2.514,2010-02-19T00:00:00Z,false,22081.755753424655
1,A,151315,8.106,46.63,2.561,2010-02-26T00:00:00Z,false,19579.549861111114
1,A,151315,8.106,46.5,2.625,2010-03-05T00:00:00Z,false,21298.721643835615
1,A,151315,8.106,57.79,2.667,2010-03-12T00:00:00Z,false,19719.747808219185
1,A,151315,8.106,54.58,2.72,2010-03-19T00:00:00Z,false,20451.60819444444
1,A,151315,8.106,51.45,2.732,2010-03-26T00:00:00Z,false,19505.971111111117
1,A,151315,7.808,62.27,2.719,2010-04-02T00:00:00Z,false,22152.33722222222
1,A,151315,7.808,65.86,2.77,2010-04-09T00:00:00Z,false,21170.116849315076
1,A,151315,7.808,66.32,2.808,2010-04-16T00:00:00Z,false,20082.9901369863
1,A,151315,7.808,64.84,2.795,2010-04-23T00:00:00Z,false,19323.001666666667
1,A,151315,7.808,67.41,2.78,2010-04-30T00:00:00Z,false,20071.840985915496
1,A,151315,7.808,72.55,2.835,2010-05-07T00:00:00Z,false,22277.154444444448
1,A,151315,7.808,74.78,2.854,2010-05-14T00:00:00Z,false,20753.49305555556
1,A,151315,7.808,76.44,2.826,2010-05-21T00:00:00Z,false,19995.172428571434
1,A,151315,7.808,80.44,2.759,2010-05-28T00:00:00Z,false,20458.142142857145
1,A,151315,7.808,80.69,2.705,2010-06-04T00:00:00Z,false,22753.869154929576
1,A,151315,7.808,80.43,2.668,2010-06-11T00:00:00Z,false,21726.212535211267
1,A,151315,7.808,84.11,2.637,2010-06-18T00:00:00Z,false,21786.725507246374
1,A,151315,7.808,84.34,2.653,2010-06-25T00:00:00Z,false,20619.00869565217
1,A,151315,7.787,80.91,2.669,2010-07-02T00:00:00Z,false,20444.084109589036
1,A,151315,7.787,80.48,2.642,2010-07-09T00:00:00Z,false,21775.692676056333
1,A,151315,7.787,83.15,2.623,2010-07-16T00:00:00Z,false,20699.12742857143
1,A,151315,7.787,83.36,2.608,2010-07-23T00:00:00Z,false,19237.016666666674
1,A,151315,7.787,81.84,2.64,2010-07-30T00:00:00Z,false,19055.369444444445
1,A,151315,7.787,87.16,2.627,2010-08-06T00:00:00Z,false,22935.596857142853
1,A,151315,7.787,87,2.692,2010-08-13T00:00:00Z,false,21242.78535211268
1,A,151315,7.787,86.65,2.664,2010-08-20T00:00:00Z,false,21015.006805555557
1,A,151315,7.787,85.22,2.619,2010-08-27T00:00:00Z,false,20702.04171428572
1,A,151315,7.787,81.21,2.577,2010-09-03T00:00:00Z,false,21391.16013888889
1,A,151315,7.787,78.69,2.565,2010-09-10T00:00:00Z,true,20936.95402777778
1,A,151315,7.787,82.11,2.582,2010-09-17T00:00:00Z,false,19866.370416666665
1,A,151315,7.787,80.94,2.624,2010-09-24T00:00:00Z,false,19039.31028169014
1,A,151315,7.838,71.89,2.603,2010-10-01T00:00:00Z,false,19908.62328767123
1,A,151315,7.838,63.93,2.633,2010-10-08T00:00:00Z,false,20660.820958904107
1,A,151315,7.838,67.18,2.72,2010-10-15T00:00:00Z,false,19991.90547945205
1,A,151315,7.838,69.86,2.725,2010-10-22T00:00:00Z,false,18430.87671232877
1,A,151315,7.838,69.64,2.716,2010-10-29T00:00:00Z,false,19225.128055555557
1,A,151315,7.838,58.74,2.689,2010-11-05T00:00:00Z,false,21550.823333333323
1,A,151315,7.838,59.61,2.728,2010-11-12T00:00:00Z,false,20472.321780821916
1,A,151315,7.838,51.41,2.771,2010-11-19T00:00:00Z,false,20608.11361111112
1,A,151315,7.838,64.52,2.735,2010-11-26T00:00:00Z,true,27161.445972222216
1,A,151315,7.838,49.27,2.708,2010-12-03T00:00:00Z,false,21803.292676056328
1,A,151315,7.838,46.33,2.843,2010-12-10T00:00:00Z,false,23698.7923943662
1,A,151315,7.838,49.84,2.869,2010-12-17T00:00:00Z,false,26264.374027777765
1,A,151315,7.838,52.33,2.886,2010-12-24T00:00:00Z,false,33165.975
1,A,151315,7.838,48.43,2.943,2010-12-31T00:00:00Z,true,19258.028309859154
1,A,151315,7.742,48.27,2.976,2011-01-07T00:00:00Z,false,20065.726111111104
1,A,151315,7.742,35.4,2.983,2011-01-14T00:00:00Z,false,19591.745915492953
1,A,151315,7.742,44.04,3.016,2011-01-21T00:00:00Z,false,18436.18638888889
1,A,151315,7.742,43.83,3.01,2011-01-28T00:00:00Z,false,18547.877605633803
1,A,151315,7.742,42.27,2.989,2011-02-04T00:00:00Z,false,22628.585633802813
1,A,151315,7.742,36.39,3.022,2011-02-11T00:00:00Z,true,22911.318472222225
1,A,151315,7.742,57.36,3.045,2011-02-18T00:00:00Z,false,23428.37194444444
1,A,151315,7.742,62.9,3.065,2011-02-25T00:00:00Z,false,20233.33722222222
1,A,151315,7.742,59.58,3.288,2011-03-04T00:00:00Z,false,22414.567260273972
1,A,151315,7.742,53.56,3.459,2011-03-11T00:00:00Z,false,20989.076081081083
1,A,151315,7.742,62.76,3.488,2011-03-18T00:00:00Z,false,21900.25083333333
1,A,151315,7.742,69.97,3.473,2011-03-25T00:00:00Z,false,21705.66732394366
1,A,151315,7.682,59.17,3.524,2011-04-01T00:00:00Z,false,21057.25
1,A,151315,7.682,67.84,3.622,2011-04-08T00:00:00Z,false,22736.0471830986
1,A,151315,7.682,71.27,3.743,2011-04-15T00:00:00Z,false,21970.2676056338
1,A,151315,7.682,72.99,3.807,2011-04-22T00:00:00Z,false,21733.608472222222
1,A,151315,7.682,72.03,3.81,2011-04-29T00:00:00Z,false,20787.009857142853
1,A,151315,7.682,64.61,3.906,2011-05-06T00:00:00Z,false,22949.172957746483
1,A,151315,7.682,75.64,3.899,2011-05-13T00:00:00Z,false,21983.227123287674
1,A,151315,7.682,67.63,3.907,2011-05-20T00:00:00Z,false,19836.364861111106
1,A,151315,7.682,77.72,3.786,2011-05-27T00:00:00Z,false,20648.544647887316
1,A,151315,7.682,83,3.699,2011-06-03T00:00:00Z,false,23358.263000000006
1,A,151315,7.682,83.13,3.648,2011-06-10T00:00:00Z,false,22379.5538028169
1,A,151315,7.682,86.41,3.637,2011-06-17T00:00:00Z,false,21279.373055555552
1,A,151315,7.682,83.58,3.594,2011-06-24T00:00:00Z,false,20265.213380281693
1,A,151315,7.962,85.55,3.524,2011-07-01T00:00:00Z,false,21573.01579710145
1,A,151315,7.962,85.83,3.48,2011-07-08T00:00:00Z,false,21926.423428571434
1,A,151315,7.962,88.54,3.575,2011-07-15T00:00:00Z,false,20787.42814285714
1,A,151315,7.962,85.77,3.651,2011-07-22T00:00:00Z,false,20245.316231884066
1,A,151315,7.962,86.83,3.682,2011-07-29T00:00:00Z,false,19597.388260869564
1,A,151315,7.962,91.65,3.684,2011-08-05T00:00:00Z,false,22878.644366197183
1,A,151315,7.962,90.76,3.638,2011-08-12T00:00:00Z,false,21480.944929577465
